 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
141,J.J. Redick,redicjj01,SG,34,PHI,8,243,15.7,0.555,0.621,0.169,1.2,10,5.7,16.9,0.8,0.3,5.7,23.8,0.4,0.2,0.6,0.118,3,-3.2,-0.2,0.1,6.94
142,Rodney McGruder,mcgruro01,SG,27,MIA,7,239,15.5,0.641,0.479,0.225,3,15.1,9.1,15.9,1.2,1,11.4,14.9,0.6,0.2,0.8,0.161,3,1.7,4.7,0.4,13.41
143,Alex Len,lenal01,C,25,ATL,7,166,15.5,0.596,0.214,0.214,6.6,18.3,12.4,11.6,0.8,4.9,14,17.6,0.2,0.2,0.4,0.105,-2.9,1.8,-1.2,0,3.64
144,CJ McCollum,mccolcj01,SG,27,POR,7,224,15.5,0.526,0.368,0.222,4,9,6.7,9.7,0.4,1,6.5,26.1,0.3,0.2,0.5,0.103,0.6,-2.4,-1.8,0,4.46
145,Kyle Kuzma,kuzmaky01,PF,23,LAL,7,226,15.5,0.54,0.381,0.153,2.3,12.3,7.3,6.5,0.4,1.7,3.1,23.2,0.3,0,0.3,0.069,0.2,-4,-3.9,-0.1,0.83
146,Jamal Murray,murraja01,PG,21,DEN,6,187,15.4,0.526,0.376,0.271,2.3,12.5,7.4,13.4,2.5,1.4,9.5,23.2,0.1,0.3,0.5,0.12,-0.6,1.9,1.4,0.2,7.42
147,Elfrid Payton,paytoel01,PG,24,NOP,5,144,15.4,0.549,0.146,0.229,5.1,17,11,28.2,1.3,0.6,17.2,17.7,0.2,0.1,0.3,0.095,1.6,-0.3,1.3,0.1,4.39
148,Daniel Theis,theisda01,C,26,BOS,5,61,15.4,0.617,0.217,0.13,11,16.1,13.5,11.6,0,1.4,14.1,19.8,0.1,0.1,0.2,0.182,-0.2,1.5,1.3,0.1,3.39
149,Rodions Kurucs,kurucro01,SF,20,BRK,3,43,15.4,0.626,0.526,0.211,10.7,18.9,15.1,3.8,0,0,19.4,26,0,0,0,0.036,-1.4,-4.6,-6,0,-1.8
150,Kevin Love,loveke01,C,30,CLE,4,136,15.4,0.478,0.369,0.508,7.7,39.7,22.5,14.8,0.4,0.6,11.2,27.3,0.1,0,0.1,0.038,-1.7,-3,-4.7,-0.1,-1.41
151,Jrue Holiday,holidjr01,SG,28,NOP,6,205,15.3,0.504,0.301,0.253,3.1,10.9,7,29.2,2.2,1.6,16.3,21.5,0.1,0.1,0.3,0.069,1.2,-0.4,0.8,0.1,4.24
152,Bam Adebayo,adebaba01,C,21,MIA,7,124,15.2,0.54,0.053,0.605,13.3,26.6,19.9,8.2,1.1,1.3,17.2,18.9,0.1,0.2,0.3,0.103,-2,1.6,-0.4,0,2.88
153,Kyrie Irving,irvinky01,PG,26,BOS,7,221,15.1,0.512,0.35,0.204,2.2,12.9,7.5,29.8,1.3,1.1,13.2,25,0,0.5,0.5,0.119,0,2.1,2.1,0.2,7.63
154,Damyean Dotson,dotsoda01,SG,24,NYK,5,146,15.1,0.566,0.579,0.053,4.1,20.1,11.6,4.1,2,0.6,6.4,17.8,0.2,0.2,0.3,0.111,1.7,-1,0.6,0.1,4.18
